Player,Offensive Archetype,Defensive Role
Miles Bridges,Shot Creator,Wing Stopper
Miles Kelly,Movement Shooter,Low Activity
Miles McBride,Secondary Ball Handler,Point of Attack
Mitchell Robinson,Athletic Finisher,Mobile Big
Mo Bamba,Low Minute,Helper
Mohamed Diawara,Stationary Shooter,Helper
Monté Morris,Low Minute,Point of Attack
Moritz Wagner,Versatile Big,Mobile Big
Moses Moody,Movement Shooter,Chaser
Mouhamed Gueye,Stationary Shooter,Helper
Moussa Cisse,Roll + Cut Big,Mobile Big
Moussa Diabate,Roll + Cut Big,Mobile Big
Myles Turner,Stretch Big,Mobile Big
Myron Gardner,Movement Shooter,Helper
Nae'Qwan Tomlin,Stationary Shooter,Helper
Naji Marshall,Stationary Shooter,Wing Stopper
Nate Williams,Low Minute,Point of Attack
Naz Reid,Movement Shooter,Helper
Neemias Queta,Roll + Cut Big,Anchor Big
N'Faly Dante,Low Minute,Helper
Nic Claxton,Roll + Cut Big,Mobile Big
Nickeil Alexander-Walker,Primary Ball Handler,Point of Attack
Nick Richards,Roll + Cut Big,Mobile Big
Nick Smith Jr.,Shot Creator,Point of Attack
Nicolas Batum,Stationary Shooter,Helper
Nigel Hayes,Movement Shooter,Helper
Nikola Jokić,Offensive Hub,Anchor Big
Nikola Jović,Shot Creator,Helper
Nikola Topić,Low Minute,Chaser
Nikola Vučević,Versatile Big,Mobile Big
Nique Clifford,Movement Shooter,Chaser
Noa Essengue,Low Minute,Low Activity
Noah Clowney,Movement Shooter,Wing Stopper
Noah Penda,Movement Shooter,Helper
Nolan Traore,Primary Ball Handler,Point of Attack
Norman Powell,Shot Creator,Chaser
Obi Toppin,Movement Shooter,Mobile Big
Ochai Agbaji,Movement Shooter,Chaser
OG Anunoby,Stationary Shooter,Wing Stopper
Olivier-Maxence Prosper,Stationary Shooter,Helper
Onyeka Okongwu,Stationary Shooter,Mobile Big
Orlando Robinson,Low Minute,Helper
Oscar Tshiebwe,Low Minute,Helper
Oso Ighodaro,Roll + Cut Big,Mobile Big
Ousmane Dieng,Shot Creator,Helper
Pacôme Dadiet,Low Minute,Chaser
Paolo Banchero,Offensive Hub,Wing Stopper
Pascal Siakam,Shot Creator,Wing Stopper
Pat Connaughton,Movement Shooter,Low Activity
Patrick Baldwin Jr.,Low Minute,Low Activity
Patrick Williams,Stationary Shooter,Wing Stopper
Pat Spencer,Primary Ball Handler,Chaser
Paul George,Shot Creator,Helper
Paul Reed,Roll + Cut Big,Mobile Big
Payton Pritchard,Primary Ball Handler,Chaser
Pelle Larsson,Shot Creator,Chaser
Pete Nance,Movement Shooter,Helper
Peyton Watson,Movement Shooter,Point of Attack
