Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
103,Kelly Oubre Jr.,30,PHI,SF,41,36,32.4,5.2,11.2,.463,1.8,5.0,.361,3.4,6.2,.545,.544,2.5,3.3,.759,1.0,3.9,4.9,1.7,1.3,0.5,1.4,2.5,14.7,,oubreke01
104,Collin Sexton,27,2TM,SG,54,15,22.9,5.0,10.2,.490,1.5,3.9,.392,3.5,6.3,.551,.565,3.1,3.5,.864,0.5,1.5,2.0,3.4,1.0,0.1,2.1,1.9,14.6,,sextoco01
104,Collin Sexton,27,CHO,SG,42,12,22.3,4.8,9.9,.488,1.4,3.5,.393,3.5,6.4,.539,.557,3.2,3.7,.877,0.4,1.5,1.9,3.7,0.9,0.2,2.1,1.8,14.2,,sextoco01
104,Collin Sexton,27,CHI,SG,12,3,25.1,5.8,11.6,.496,2.2,5.6,.388,3.6,6.0,.597,.590,2.5,3.1,.811,0.6,1.6,2.2,2.1,1.3,0.1,2.3,2.3,16.2,,sextoco01
105,Walker Kessler,24,UTA,C,5,5,30.8,5.2,7.4,.703,1.2,1.6,.750,4.0,5.8,.690,.784,2.8,4.0,.700,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,14.4,,kesslwa01
106,Anfernee Simons,26,2TM,SG,55,5,24.9,5.2,11.8,.440,2.7,6.9,.385,2.5,4.9,.517,.552,1.3,1.4,.896,0.6,1.9,2.5,2.4,0.5,0.1,1.2,1.7,14.3,,simonan01
106,Anfernee Simons,26,BOS,SG,49,0,24.5,5.1,11.6,.440,2.7,6.7,.395,2.4,4.9,.502,.555,1.3,1.5,.889,0.5,1.9,2.4,2.4,0.6,0.1,1.1,1.7,14.2,,simonan01
106,Anfernee Simons,26,CHI,SG,6,5,28.3,5.8,13.3,.438,2.7,8.3,.320,3.2,5.0,.633,.538,0.8,0.8,1.000,0.8,2.0,2.8,3.0,0.0,0.3,2.2,2.0,15.2,,simonan01
107,Ajay Mitchell,23,OKC,SG,45,10,26.4,5.3,10.7,.492,1.1,3.2,.347,4.2,7.5,.553,.544,2.7,3.1,.871,0.7,2.8,3.4,3.7,1.4,0.3,1.5,2.1,14.3,,mitchaj01
108,Devin Vassell,25,SAS,SG,53,51,30.6,5.1,11.6,.437,2.5,6.6,.383,2.5,5.0,.508,.545,1.6,2.0,.802,0.5,3.3,3.8,2.4,0.8,0.4,0.9,1.6,14.3,,vassede01
109,Ayo Dosunmu,26,2TM,SG,58,10,26.2,5.3,10.3,.515,1.7,4.0,.435,3.6,6.3,.565,.599,1.8,2.1,.857,0.7,2.2,2.9,3.5,0.8,0.2,1.3,1.8,14.2,,dosunay01
109,Ayo Dosunmu,26,CHI,SG,45,10,26.4,5.6,10.8,.514,1.9,4.3,.451,3.6,6.5,.556,.604,2.0,2.3,.857,0.7,2.3,3.0,3.6,0.8,0.3,1.4,1.7,15.0,,dosunay01
109,Ayo Dosunmu,26,MIN,SG,13,0,25.7,4.5,8.8,.518,1.1,3.0,.359,3.5,5.8,.600,.579,0.9,1.1,.857,0.4,2.0,2.4,2.8,0.8,0.2,1.0,2.2,11.1,,dosunay01
110,Ivica Zubac,28,2TM,C,45,44,30.5,6.0,9.9,.613,0.0,0.0,,6.0,9.9,.613,.613,2.1,3.0,.701,3.3,7.5,10.8,2.2,0.4,0.8,1.9,2.4,14.2,,zubaciv01
